M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
sm147   1.0000D-03   1.4588D-10     6.6157D-09    2.1424D-02	7.4037D-09    2.3600D-02   
sm148   1.0000D-03   1.0748D-10     2.4060D-08    2.1424D-02	2.6901D-08    2.3600D-02   
sm149   1.0000D-03   1.3193D-10     3.7179D-09    2.1424D-02	4.2937D-09    2.3600D-02   
sm150   1.0000D-03   7.1257D-11     1.6086D-08    2.1424D-02	1.8752D-08    2.3600D-02   
sm151   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm152   1.0000D-03   2.6047D-10     1.3597D-08    2.1424D-02	1.6093D-08    2.3600D-02   
sm153   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm154   1.0000D-03   2.2445D-10     2.8102D-10    2.1424D-02	3.4436D-10    2.3600D-02   
eu151   1.0000D-03   1.7464D-10     2.6020D-09    2.1424D-02	3.0577D-09    2.3600D-02   
eu152   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu153   1.0000D-03   1.9331D-10     2.2335D-09    2.1424D-02	2.6319D-09    2.3600D-02   
eu154   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu155   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu156   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
eu157   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
      					       	       	  		   	       	          
ba134   1.5000D-03   3.6327D-10     5.2922D-08    2.1424D-02	5.2638D-08    2.3600D-02   
ba135   1.5000D-03   9.9387D-10     3.6664D-08    2.1424D-02	4.5687D-08    2.3600D-02   
ba136   1.5000D-03   1.1940D-09     1.8570D-07    2.1424D-02	1.7631D-07    2.3600D-02   
ba137   1.5000D-03   1.7173D-09     1.8835D-07    2.1424D-02	4.4060D-07    2.3600D-02   
ba138   1.5000D-03   1.1052D-08     2.1631D-06    2.1424D-02	2.2729D-06    2.3600D-02   
ba139   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
